http://www.atlasobscura.com/articles/does-america-have-a-secret-kangaroo-population	2016-12-22	3,157
http://www.atlasobscura.com/articles/does-mrs-claus-have-a-life-of-her-own	2015-12-16	3,910
http://www.atlasobscura.com/articles/does-taco-bell-hot-sauce-expire-and-everything-else-about-sauce-packets-you-never-thought-to-ask	2016-01-11	1,777
http://www.atlasobscura.com/articles/doritos-nachos-pasta-with-mayo-corn-pizza-how-other-places-imagine-american-food	2015-11-18	5,023
http://www.atlasobscura.com/articles/dormouse-jars-glirarium-rome	2017-06-26	7,705
http://www.atlasobscura.com/articles/do-you-remember-candle-cove	2016-10-07	2,738
http://www.atlasobscura.com/articles/dyeing-the-dead-the-artful-science-of-diaphonization	2014-05-14	3,661
http://www.atlasobscura.com/articles/election-fraud-in-the-1800s-involved-kidnapping-and-forced-drinking	2016-09-07	10,188
http://www.atlasobscura.com/articles/eruv-manhattan-invisible-wire-jewish-symbolic-religious-home	2017-10-16	11,937
http://www.atlasobscura.com/articles/essential-guide-perverted-past	2014-03-24	2,660
http://www.atlasobscura.com/articles/essential-guide-to-bars-at-the-end-of-the-world	2016-09-17	12,667
http://www.atlasobscura.com/articles/everything-we-know-about-springfield-mapped	2015-06-15	1,637
http://www.atlasobscura.com/articles/everything-youve-heard-about-chastity-belts-is-a-lie	2017-07-12	9,511
http://www.atlasobscura.com/articles/exploring-an-abandoned-new-york-mansion-with-a-secret-past	2016-02-19	4,574
http://www.atlasobscura.com/articles/exploring-mexicos-zone-of-silence-where-radio-signals-fail-and-meteorites-crash	2016-11-03	7,783
http://www.atlasobscura.com/articles/exploring-the-secret-nazi-tunnels-under-a-german-vacation-town	2015-07-28	1,501
http://www.atlasobscura.com/articles/flyting-was-medieval-england-s-version-of-an-insult-trading-rap-battle	2016-01-14	2,128
http://www.atlasobscura.com/articles/frances-glessner-lee-crime-scence-forensics-investigation-dioramas	2017-10-06	10,220
http://www.atlasobscura.com/articles/frog-pants-reproduction-experiment	2017-09-18	1,746
http://www.atlasobscura.com/articles/from-zeus-to-williamssonoma-the-history-of-the-cornucopia	2015-11-11	1,483
http://www.atlasobscura.com/articles/gavle-goat-timeline	2013-12-20	1,668
http://www.atlasobscura.com/articles/ghost-hoaxing	2019-10-29	2,793
http://www.atlasobscura.com/articles/ghost-islands	2014-10-29	2,035
http://www.atlasobscura.com/articles/gold-ocean-sea-hoax-science-water-boom-rush-treasure	2017-03-23	5,317
http://www.atlasobscura.com/articles/guide-to-wait-out-the-zombie-apocalypse	2011-06-08	5,761
http://www.atlasobscura.com/articles/hanoi-rat-massacre-1902	2017-06-06	1,718
http://www.atlasobscura.com/articles/heres-when-you-told-us-you-open-your-christmas-presents	2016-12-16	8,298
http://www.atlasobscura.com/articles/history-of-corduroy	2017-09-19	2,198
http://www.atlasobscura.com/articles/holy-grail-quest-places	2017-02-06	1,859
http://www.atlasobscura.com/articles/horniman-museum-walrus-comes-home	2013-09-23	3,663
http://www.atlasobscura.com/articles/houdini-milk-can-at-the-american-museum-of-magic	2013-04-19	2,015
http://www.atlasobscura.com/articles/how-a-former-cheney-aide-nearly-killed-the-christmas-tree-industry	2016-12-13	1,919
http://www.atlasobscura.com/articles/how-a-portuguese-to-english-phrasebook-became-a-cult-comedy-sensation	2016-06-29	26,567
http://www.atlasobscura.com/articles/how-capicola-became-gabagool-the-italian-new-jersey-accent-explained	2015-11-05	26,882
http://www.atlasobscura.com/articles/how-flowerobsessed-victorians-encoded-messages-in-bouquets	2016-08-15	3,881
http://www.atlasobscura.com/articles/how-miracle-max-nearly-shut-down-the-princess-bride	2015-09-25	2,117
http://www.atlasobscura.com/articles/how-racism-was-first-officially-codified-in-15thcentury-spain	2016-12-22	1,775
http://www.atlasobscura.com/articles/how-the-hidden-sounds-of-horror-movie-soundtracks-freak-you-out	2016-10-31	5,186
http://www.atlasobscura.com/articles/how-the-world-looked-when-jesus-was-born-according-to-roman-geographers	2015-12-16	13,480
http://www.atlasobscura.com/articles/how-to-choose-the-pet-bug-thats-right-for-you	2016-06-21	4,144
http://www.atlasobscura.com/articles/how-to-drink-vodka-like-a-russian	2016-04-07	5,231
